page,token,pos,counts,cumulative_sum
236,man,NN,2,79
236,quite,RB,2,10
33,kind,NNP,2,11
190,chester,NNP,2,2
190,conceivable,JJ,2,2
190,case,NN,2,7
190,one,NN,2,125
157,one,CD,2,127
84,aristocratic,JJ,2,2
124,inaccurate,JJ,2,5
158,swatchway,NNP,2,2
190,every,DT,2,10
84,state,NN,2,7
123,notable,JJ,2,2
84,subject,JJ,2,7
234,read,VBN,2,4
234,flooding,NN,2,2
35,good,JJ,2,38
234,sea,NNP,2,51
234,must,MD,2,12
35,thing,NN,2,31
158,great,JJ,2,37
158,like,IN,2,9
234,cutting,NN,2,2
189,without,IN,2,13
83,know,VB,2,9
191,man,NN,2,81
85,ladies,NNP,2,2
83,head,NN,2,6
158,level,NN,2,2
122,case,NN,2,9
158,see,VB,2,12
123,must,MD,2,14
34,true,JJ,2,13
34,better,JJR,2,2
234,done,VBN,2,14
83,never,RB,2,17
158,even,RB,2,27
83,one,CD,2,129
34,weather,NN,2,2
83,might,MD,2,14
123,man,NN,2,83
83,time,NN,2,16
191,master,NN,2,2
191,would,MD,2,95
190,used,VBD,2,5
123,quite,RB,2,12
123,wrote,VBD,2,13
234,central,JJ,2,2
81,length,NN,2,2
38,mind,NN,2,7
164,next,JJ,2,2
187,many,JJ,2,12
118,man,NN,2,85
42,two,CD,2,18
42,mean,VBP,2,2
42,man,NN,2,87
87,side,NN,2,5
228,insurance,NN,2,2
228,number,NN,2,11
228,various,JJ,2,2
118,must,MD,2,16
80,poet,NN,2,14
42,member,NN,2,2
42,put,VB,2,2
227,whole,JJ,2,4
80,modern,JJ,2,20
228,peculiar,JJ,2,2
41,authority,NN,2,2
163,new,JJ,2,14
80,homer,NNP,2,2
86,morning,NN,2,2
188,soldier,NN,2,2
162,rope,NN,2,12
163,vessel,NN,2,2
118,streets,NNS,2,2
41,shall,MD,2,6
41,say,VBP,2,20
41,write,VB,2,8
163,reach,VB,2,2
228,first,JJ,2,17
187,piece,NN,2,6
41,religion,NN,2,2
80,say,VB,2,22
118,party,NN,2,2
163,even,RB,2,29
42,order,NN,2,5
41,certain,JJ,2,8
43,hardly,RB,2,2
117,would,MD,2,97
87,ecclesiastical,JJ,2,2
226,wear,VB,2,2
43,little,JJ,2,43
117,side,NN,2,7
164,farther,RB,2,2
194,thinking,VBG,2,2
164,would,MD,2,99
43,varnish,NN,2,2
116,great,JJ,2,39
194,see,VBP,2,14
87,man,NN,2,89
43,power,NN,2,4
226,apparel,NN,2,2
194,put,VBN,2,4
227,caddishness,NN,2,4
80,upon,IN,2,45
80,well,RB,2,13
117,advocacy,NN,2,4
117,truth,NN,2,11
117,better,JJR,2,4
42,lie,NN,2,2
80,work,NN,2,5
117,spirit,NN,2,2
52,look,VB,2,2
43,people,NNS,2,20
194,little,JJ,2,45
117,either,DT,2,2
163,away,RB,2,4
87,shield,NN,2,2
194,never,RB,2,19
43,must,MD,2,18
162,enough,RB,2,4
41,teaching,NN,2,2
192,knot,NN,2,6
192,possible,JJ,2,2
231,seen,VBN,2,2
188,instance,NN,2,2
188,fame,NN,2,8
230,north,NNP,2,8
39,century,NN,2,4
230,may,MD,2,35
39,men,NNS,2,45
231,superstition,NN,2,2
230,great,JJ,2,41
161,wilderness,NN,2,2
230,see,VB,2,16
120,home,NN,2,2
120,controversy,NN,2,22
161,waste,NN,2,2
231,sea,NN,2,53
161,bed,NN,2,2
188,two,CD,2,20
161,river,NN,2,2
121,false,JJ,2,5
192,origin,NN,2,2
38,insecure,JJ,2,2
192,true,JJ,2,15
161,came,VBD,2,10
81,mind,NN,2,9
38,many,JJ,2,14
120,fought,VBN,2,2
120,game,NN,2,2
231,stand,VB,2,2
161,car,NN,2,5
120,special,JJ,2,5
81,essay,NN,2,2
120,victory,NN,2,2
230,enormous,JJ,2,2
120,war,NN,2,8
162,believe,VB,2,2
229,hare,NN,2,2
229,right,RB,2,2
81,would,MD,2,101
81,best,JJS,2,2
192,technical,JJ,2,8
229,great,JJ,2,43
188,trick,NN,2,2
119,fact,NN,2,2
162,us,PRP,2,5
40,impression,NN,2,2
193,little,JJ,2,47
188,note,VB,2,2
41,learned,VBN,2,7
41,artificial,JJ,2,2
162,know,VBP,2,11
162,two,CD,2,22
86,son,NN,2,2
120,another,DT,2,15
162,accept,VB,2,2
120,would,MD,2,103
161,like,IN,2,11
86,poet,NN,2,16
162,fashion,NN,2,2
40,carefully,RB,2,2
230,would,MD,2,105
230,explain,VB,2,2
40,government,NN,2,12
40,public,JJ,2,8
40,upon,IN,2,47
192,might,MD,2,16
40,uniform,JJ,2,2
40,subconscious,NN,2,2
40,mind,NN,2,11
169,going,VBG,2,5
219,good,JJ,2,40
109,persuasion,NN,2,11
182,people,NNS,2,22
64,nice,JJ,2,2
208,blood,NN,2,2
208,wish,VBP,2,2
202,men,NNS,2,47
208,rhyme,NN,2,2
71,also,RB,2,22
202,looking,VBG,2,2
208,made,VBD,2,9
100,wheel,NN,2,2
64,garrison,NN,2,2
177,even,RB,2,31
177,little,JJ,2,49
100,death,NN,2,6
208,whole,JJ,2,6
94,revered,VBN,2,2
64,certain,JJ,2,10
